"Fiyat","BisikletOzellik1","BisikletOzellik2"
"807.6738764","1749.628226","1749.590668"
"959.2275201","1748.007826","1751.824206"
"718.0200329","1750.122967","1747.977026"
"945.6688847","1749.91644","1750.771646"
"955.5429676","1750.780519","1750.59243"
"950.2214253","1749.463071","1751.099011"
"972.0999123","1750.482746","1750.778662"
"730.7470179","1750.724858","1748.037351"
"653.0064296","1750.029061","1747.332994"
"1108.363012","1749.83488","1752.790342"
"1092.432411","1753.674957","1750.855601"
"831.9017301","1750.403934","1749.2369"
"1050.644778","1749.482545","1752.425774"
"932.4576656","1751.350257","1749.893437"
"827.4618849","1748.815151","1750.096879"
"886.0465092","1750.663955","1749.70124"
"889.7252105","1747.39798","1751.256074"
"1068.296866","1752.451952","1750.851538"
"566.4010835","1749.452746","1746.810549"
"780.8715318","1752.19596","1747.851739"
"633.7147302","1747.911291","1748.17437"
"758.4686205","1750.005335","1748.500451"
"983.5045088","1753.688115","1749.610612"
"1115.291836","1752.028208","1751.886485"
"914.9140132","1749.10965","1750.954059"
"822.1549425","1750.75579","1749.000053"
"950.4423736","1750.230771","1750.716489"
"989.5097974","1748.85742","1751.783591"
"927.5574942","1750.392753","1750.483304"
"1068.515289","1751.412486","1751.474736"
"844.4737208","1749.390491","1750.105018"
"573.2300709","1750.198287","1746.458225"
"1014.528968","1749.86701","1751.620021"
"784.7521757","1749.417185","1749.481991"
"1100.709911","1751.274375","1751.943308"
"939.3954013","1752.54663","1749.58896"
"997.617767","1750.844326","1750.904433"
"626.1947566","1747.393432","1748.303847"
"1071.148623","1753.172852","1750.689555"
"778.1894898","1747.888698","1749.840062"
"1050.207614","1749.195628","1752.160562"
"916.1829736","1748.681773","1751.183114"
"897.6624037","1747.681905","1751.334307"
"1076.042305","1752.684971","1750.969123"
"707.6178069","1748.994534","1748.59648"
"1126.454907","1748.248518","1753.598271"
"855.674057","1750.13324","1749.610684"
"775.6082","1751.718377","1748.180213"
"900.3383662","1750.110818","1750.285228"
"901.043046","1752.277763","1749.200642"
"568.8524138","1749.759473","1746.609264"
"970.6586024","1753.217563","1749.703528"
"789.93495","1748.351436","1749.804005"
"1028.438035","1751.318222","1750.975769"
"836.0406201","1750.602591","1749.230631"
"1005.402312","1753.542033","1749.859981"
"960.5938984","1748.964866","1751.516754"
"925.2090462","1750.261642","1750.567466"
"775.6192584","1751.578952","1748.167051"
"696.2936631","1746.227794","1749.642171"
"622.6418664","1750.481237","1746.747469"
"806.2158674","1748.345335","1750.090361"
"935.842904","1749.773043","1750.870413"
"940.8117826","1751.039918","1750.254453"
"1056.422331","1751.226003","1751.531186"
"957.7326352","1749.419019","1751.276294"
"992.7900877","1751.326933","1750.735763"
"795.0757731","1748.69652","1749.77945"
"862.0579003","1749.892452","1749.897858"
"1125.487881","1749.897624","1752.91177"
"835.5034035","1749.735007","1749.82092"
"870.4719071","1751.849342","1749.033897"
"978.3266243","1751.801165","1750.463821"
"1009.187267","1749.542181","1751.728759"
"511.3356169","1746.930394","1747.370439"
"950.2419499","1750.495798","1750.662669"
"958.5309692","1753.44579","1749.416565"
"888.010185","1751.770806","1749.321272"
"714.2135013","1751.073339","1747.745612"
"1042.0086","1749.777431","1751.883994"
"810.8716063","1749.224196","1749.758469"
"819.6247158","1748.620167","1750.038832"
"808.5084033","1749.032218","1749.769697"
"718.1284671","1750.68959","1747.851167"
"818.0560422","1750.409374","1749.052522"
"870.1696257","1749.981961","1749.931562"
"720.3664031","1749.160358","1748.758826"
"1020.365472","1751.950602","1750.976167"
"773.4131421","1750.194633","1748.65867"
"938.071591","1749.198503","1751.12579"
"929.2275552","1750.347288","1750.377973"
"637.8897366","1750.052898","1747.241863"
"1095.62014","1751.469938","1751.695269"
"760.6019926","1749.727072","1748.944351"
"915.2910235","1752.232041","1749.481392"
"847.1904158","1750.523044","1749.589853"
"720.2573123","1750.180652","1748.276758"
"1263.961903","1751.580415","1753.658535"
"909.0602356","1747.083344","1751.701046"
"977.3806183","1749.652707","1751.275336"
"920.9252112","1751.494914","1749.843411"
"929.735707","1749.844248","1750.716473"
"824.0586726","1750.974579","1748.87023"
"804.8686544","1748.899472","1749.703417"
"1010.770224","1751.120117","1751.02474"
"1049.83503","1749.732341","1752.087581"
"1023.624766","1750.396474","1751.445855"
"625.3489093","1749.166022","1747.640246"
"686.0827202","1747.784982","1748.912704"
"902.6122804","1748.654044","1750.986268"
"682.8661644","1749.355564","1748.173734"
"870.6100942","1749.138424","1750.191323"
"886.7955689","1750.183575","1749.996238"
"692.1508565","1751.225246","1747.55411"
"419.3984616","1747.960884","1745.777454"
"888.309265","1749.256786","1750.52005"
"1100.486458","1751.970401","1751.671485"
"819.128182","1750.613294","1749.081866"
"778.6532843","1749.704352","1749.112315"
"922.8050929","1750.446361","1750.285569"
"727.0252231","1746.673264","1749.828606"
"636.0031634","1751.383948","1746.712515"
"1035.770911","1749.250079","1752.27136"
"684.4681665","1749.68418","1748.087391"
"920.6783593","1751.04486","1750.004684"
"703.5167929","1746.888856","1749.347833"
"986.4361804","1752.224701","1750.27634"
"633.9203211","1747.042113","1748.741552"
"900.0486227","1751.703354","1749.484169"
"564.0501159","1746.44421","1748.267241"
"898.659531","1749.834994","1750.2979"
"595.1017487","1750.709696","1746.642237"
"981.3907561","1748.281659","1751.94821"
"857.1405462","1748.330844","1750.703357"
"666.8789379","1748.37713","1748.332408"
"977.1114374","1749.12254","1751.514625"
"790.6573017","1750.994002","1748.519795"
"790.6349523","1751.874946","1748.054894"
"773.8010488","1747.488268","1749.787643"
"855.377106","1749.898226","1749.758062"
"757.9140967","1750.512058","1748.444974"
"906.512419","1749.265088","1750.75487"
"895.4654565","1750.202097","1750.117751"
"586.0655434","1745.200839","1748.811006"
"858.8735629","1750.689609","1749.487587"
"893.3112399","1749.744658","1750.170393"
"988.7944656","1751.335327","1750.597834"
"949.0274589","1750.699323","1750.494754"
"1146.995847","1748.646138","1753.552615"
"758.6556778","1746.437176","1750.422682"
"652.8583381","1745.001827","1749.663426"
"905.3135","1749.126541","1750.692837"
"1067.446722","1752.217216","1751.262897"
"702.2405897","1747.26521","1749.297879"
"946.301683","1751.174888","1750.30746"
"718.4419368","1748.082812","1749.11081"
"773.0481454","1750.648919","1748.531255"
"785.2274264","1746.643878","1750.332189"
"660.7482456","1746.676821","1748.9829"
"788.9906258","1750.278003","1749.048033"
"1216.391126","1750.74747","1753.458831"
"960.6598969","1752.483231","1749.834131"
"839.4905341","1749.482418","1749.977658"
"603.7706849","1750.857874","1746.495531"
"1009.491965","1748.428639","1752.114743"
"591.4147658","1751.620403","1746.129684"
"816.9690875","1748.901106","1749.834459"
"752.3519727","1748.621177","1749.214154"
"993.7933125","1747.73233","1752.339912"
"739.8624206","1748.195024","1749.298745"
"979.6232695","1751.654347","1750.642202"
"881.5745269","1750.725546","1749.734959"
"621.8665054","1748.193872","1747.896791"
"1089.150079","1750.600166","1752.128838"
"789.2081251","1749.350955","1749.208994"
"1035.499736","1753.072231","1750.440634"
"914.2523848","1751.725602","1749.875128"
"829.6511062","1752.153739","1748.435195"
"740.3417593","1750.72522","1748.181688"
"816.7328016","1748.425074","1750.004026"
"843.3695733","1750.462477","1749.429336"
"635.1076831","1748.583054","1748.11852"
"990.6008689","1750.038461","1751.247974"
"799.8542792","1749.625661","1749.321466"
"1016.541058","1750.782337","1751.36254"
"870.3436332","1749.009616","1750.186109"
"908.5516566","1749.702386","1750.60799"
"1120.708492","1751.333537","1752.132699"
"835.2021959","1751.326031","1748.989351"
"886.3814846","1748.407192","1750.874882"
"1109.934513","1751.618324","1751.862201"
"545.7749109","1747.299588","1747.484835"
"974.07127","1751.294492","1750.532947"
"781.1305515","1752.086014","1748.103148"
"951.7029885","1748.910654","1751.327855"
"1080.826423","1747.167247","1753.692555"
"860.2147525","1752.416658","1748.846104"
"773.3341468","1750.644265","1748.606851"
"732.3000622","1748.020576","1749.27352"
"917.828597","1748.840421","1751.031671"
"845.4859474","1749.76318","1749.719365"
"1090.245875","1749.46386","1752.553139"
"743.0647136","1750.884593","1748.033291"
"901.5081948","1748.410985","1750.916843"
"869.5583342","1751.098358","1749.572701"
"934.9101422","1752.565167","1749.593997"
"1097.915483","1752.054496","1751.51916"
"805.040758","1750.829266","1748.905834"
"591.734223","1748.621697","1747.411703"
"695.8360433","1748.168314","1748.922272"
"983.6013881","1750.377333","1751.1516"
"883.2143188","1748.831913","1750.519818"
"859.2462795","1749.678226","1749.823102"
"632.4962091","1748.169612","1748.014209"
"1064.22407","1751.435561","1751.485211"
"1093.888926","1751.612888","1751.859339"
"807.4163757","1749.173325","1749.694638"
"932.8761891","1751.375416","1749.987916"
"766.9644604","1748.912415","1749.217967"
"707.2491908","1749.64536","1748.196026"
"802.4238209","1748.122754","1750.113959"
"796.4941845","1749.745497","1749.074977"
"913.2892906","1752.727156","1749.244413"
"887.4214822","1748.245332","1751.022501"
"841.4121455","1747.382414","1750.726209"
"944.4469953","1752.479712","1749.79337"
"658.5709468","1749.870528","1747.722012"
"786.552347","1747.049571","1750.339101"
"801.111406","1749.100146","1749.425086"
"929.5359808","1751.99443","1749.774632"
"1049.670748","1752.033923","1750.856843"
"921.6788307","1751.862178","1749.534239"
"896.2651556","1750.041059","1750.348352"
"892.5516402","1748.713072","1750.731891"
"684.7145827","1753.815812","1746.201407"
"1038.918642","1749.380421","1752.471462"
"727.312402","1748.807543","1748.968647"
"820.8774676","1750.531058","1749.363282"
"849.1433579","1751.230408","1748.999284"
"621.1254741","1748.658422","1747.65794"
"554.114484","1746.372996","1748.094382"
"812.7786592","1750.454972","1749.108956"
"1136.442854","1749.500296","1753.225618"
"829.5437736","1749.263665","1749.801114"
"965.2301057","1748.945624","1751.320276"
"1105.806025","1747.56351","1753.706006"
"1045.997001","1753.16847","1750.598096"
"932.100396","1750.011526","1750.636771"
"779.7699375","1748.371216","1749.648635"
"1049.866696","1747.62605","1753.119633"
"657.9289158","1749.498195","1747.896664"
"1018.338098","1750.214033","1751.557556"
"813.74021","1748.346256","1750.031488"
"730.1680261","1750.082903","1748.445499"
"998.6306143","1749.161875","1751.9648"
"725.820291","1752.468442","1747.120949"
"1011.892036","1752.778729","1750.255859"
"710.3757316","1749.762744","1748.052039"
"1096.68957","1751.360069","1751.795388"
"847.0341714","1747.999154","1750.707972"
"481.8334067","1747.255369","1746.924813"
"930.4083931","1752.634462","1749.644042"
"390.8568873","1749.836223","1744.742389"
"1116.113196","1750.014258","1752.734166"
"969.2899932","1750.162974","1750.910216"
"853.5413535","1749.32739","1750.180687"
"768.4079542","1746.915354","1750.070576"
"661.571222","1748.414993","1748.178604"
"663.6642096","1751.065875","1747.192332"
"939.9691706","1750.540791","1750.363451"
"967.9667867","1751.205829","1750.546278"
"884.9622403","1749.753711","1750.285832"
"737.6916143","1750.063424","1748.592654"
"894.0488371","1750.720384","1749.767549"
"992.5907355","1752.48177","1750.008177"
"1220.987527","1753.690115","1752.108925"
"680.3066064","1748.861024","1748.339681"
"1012.075782","1754.024103","1749.802923"
"1284.98388","1753.851366","1753.051978"
"786.3242535","1748.463253","1749.703691"
"896.0858357","1752.599856","1748.998488"
"625.2678503","1747.724168","1748.209788"
"630.4062186","1746.558864","1748.736961"
"691.4607933","1749.374223","1748.356206"
"741.4750297","1750.863359","1748.088959"
"776.6672181","1748.985145","1749.379549"
"1042.940184","1753.437654","1750.265289"
"902.2331724","1750.798716","1749.874745"
"930.8759042","1751.321158","1750.006982"
"927.736401","1751.111437","1750.119339"
"785.1067101","1747.355566","1750.221518"
"923.3277846","1748.652084","1751.116201"
"793.5520207","1750.144702","1749.026075"
"730.6971461","1748.623815","1749.152165"
"1149.7029","1748.432466","1753.864326"
"955.9049148","1752.910079","1749.729767"
"862.6378589","1748.819213","1750.364298"
"664.840984","1748.810668","1748.173147"
"894.8917387","1753.741421","1748.559316"
"881.1498497","1749.975308","1750.056458"
"909.0559668","1751.628647","1749.601588"
"1069.508365","1750.936518","1751.667647"
"719.3402612","1749.767231","1748.379773"
"705.9727771","1750.501426","1747.951363"
"869.3197636","1749.300945","1750.180361"
"815.5077151","1749.924944","1749.256827"
"924.2250735","1750.250904","1750.519435"
"1108.539693","1753.219701","1751.333079"
"992.3287114","1749.240376","1751.596914"
"761.4223593","1747.918478","1749.687899"
"941.3755485","1747.829912","1751.798876"
"792.2432778","1748.927091","1749.736784"
"1066.422132","1751.472735","1751.404823"
"693.3439994","1748.832554","1748.520972"
"882.7549021","1750.121103","1750.032197"
"1096.714986","1750.247393","1752.416849"
"862.7710311","1752.358039","1748.993861"
"1267.825783","1753.123848","1753.036986"
"1248.566679","1750.112956","1754.083641"
"989.0857298","1751.789875","1750.492552"
"965.2540239","1748.768256","1751.550635"
"790.8208837","1751.10289","1748.576709"
"990.4426537","1749.824799","1751.564207"
"643.6358327","1748.694954","1748.081258"
"1008.562526","1752.187383","1750.689251"
"1013.999754","1749.059385","1752.103082"
"855.9208135","1749.463472","1749.919164"
"852.5788929","1751.026728","1749.324069"
"1086.957998","1751.707065","1751.578435"
"843.3373224","1747.899414","1750.593695"
"1226.72144","1752.822637","1752.769007"
"1049.984567","1749.308956","1752.342096"
"914.1280465","1749.005124","1751.009669"
"1131.941849","1752.039909","1751.888693"
"995.073078","1749.739643","1751.4407"
"894.7719293","1752.576962","1748.899284"
"1331.139279","1753.52412","1753.734788"
"532.7570766","1749.967934","1745.945087"
"950.8111239","1746.653158","1752.336416"
"699.7664082","1750.720813","1747.544058"
"1024.044375","1753.759366","1749.991617"
"847.402171","1750.804211","1749.304356"
"745.2263892","1751.384864","1748.063545"
"963.3311612","1750.89666","1750.672765"
"570.1409046","1749.986643","1746.596099"
"637.0612742","1747.128668","1748.668345"
"769.1189366","1750.688772","1748.561179"
"906.9604675","1749.888818","1750.414528"
"1214.479863","1752.06668","1752.995068"
"897.042478","1748.259288","1751.02322"
"450.9959952","1747.451778","1746.377497"
"917.5676655","1749.67324","1750.656591"
"703.8421485","1747.912032","1748.980267"
"1014.740626","1754.751955","1749.388298"
"833.124652","1749.271973","1750.077238"
"719.5724178","1751.045278","1747.864292"
"643.5861992","1750.137336","1747.280839"
"701.1111657","1750.136064","1747.940593"
"1066.766238","1750.580125","1751.8707"
"1071.822948","1752.20816","1751.218506"
"641.1683019","1748.711399","1748.052473"
"849.631825","1749.47315","1750.034099"
"775.9448123","1749.722602","1749.037193"
"839.2458684","1748.082302","1750.394168"
"979.4723559","1750.28887","1751.164563"
"757.4378348","1747.476154","1749.566117"
"574.359632","1748.53285","1747.259118"
"917.6495921","1750.976258","1750.095055"
"967.3631364","1751.754472","1750.041713"
"1103.573869","1748.953069","1753.097021"
"743.4188757","1751.346339","1747.910792"
"656.4907075","1747.850611","1748.655463"
"593.1339771","1747.904372","1747.684082"
"1005.795019","1748.414772","1752.154519"
"622.6759897","1749.850949","1747.23938"
"662.8884449","1748.716776","1748.235402"
"972.9996273","1746.83187","1752.537077"
"1124.148934","1750.613781","1752.610991"
"608.7835482","1747.466677","1748.181173"
"577.6440289","1748.096757","1747.348974"
"687.2326445","1751.623467","1747.060917"
"908.8212167","1749.674452","1750.602539"
"1072.318978","1751.59946","1751.596389"
"821.1820059","1750.11019","1749.279958"
"805.5599842","1751.175166","1748.632328"
"1130.95375","1749.073117","1753.273118"
"792.2853739","1750.874728","1748.613796"
"781.6579817","1750.440632","1748.788454"
"687.0112791","1748.268223","1748.798416"
